A220074,9,B,36.39,0,0,,B22.0436,weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220075,32,B,24.42,27,144,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220076,6,B,42.21,35,106,,B22.0286,grinding stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220077,38,B,42.21,36,113,,B22.0529,lower grinding stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220078,53,B,42.21,26,162,,B22.0652,lower grinding stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220079,13,B,54.1,0,0,,B22.0590,bangle frag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220080,27,B,69..70,7,18,,B22.0685,bangle frag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220081,18,B,69.7,7,13,,,bowl frag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220082,34,B,25.62,57,258,,,jar stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220083,27,B,25.62,55,246,,,spindle whorl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220084,58,B,24.42,48,164,,,mill stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220085,30,B,69.7,16,20,,,mill stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220086,29,B,25.62,35,249,,,hand grinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220087,52,B,25.61,19,127,,,hand grinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220088,11,B,25.62,1,,,,mill stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220089,55,B,24.42,26,162,,,hand grinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220090,14,B,25.62,50,239,,,mill stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220091,28,B,25.61,5,113,,,UD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220092,16,B,42.21,39,121,,,hand grinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220093,22,B,24.42,26,145,,,whetstone,certain,,,,,triangular,rounded,stone,5YR/5-2,whole,100%,mod,,233.00,10.37,5.41,2.65,,,whole,,,,,,,,,,,,,,,,,,,,
A220094,10,B,25.62,1,,,,mortar,certain,,,,,ovid,somewhat,stone,,frag,25%,mod,none,9071.85,30.00,30.00,17.00,,,broken,1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220095,56,B,25.61,1,125,,,jar stopper,possible,,,,,circullar,somewhat,ceramic,5YR/6-4,complete,100%,crude,,28.61,5.23,4.67,0.99,4.67,,whole,1,,,,,,,,,,,,,,,,,,,
A220096,20,B,69.7,7,15,,,nail,certain,,,,,mushroom,nearly,metal,10R/4-1,frag,90%,mod,,2.27,3.66,1.79,0.61,,,broken,1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220097,2,B,25.61,4,112,,,glass bead,certain,,,,,lentoid,nearly,glass,10R/2.5-2,frag,70%,,,0.66,1.29,1.16,1.01,1.29,,broken,1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220098,12,B,55.5,0,,,B22.0579,glass bangle,possible,,,,,,,glass,Gley 1 2.5-N*,frag,UD,,,2.98,3.24,0.81,0.94,,,broken,1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220099,29,B,69.7,7,18,,,UD,,,,,,lunate,exactly,glass,Gley 2 7-5Bfrag,,UD,,,0.29,1.51,0.55,0.25,,,"broken,fragile",1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220100,10,B,55.6,0,,,B22.0577,glass bangle,possible,,,,,lunate,nearly,glass,Gley 2 6-10BG* approx,frag,UD,,,0.91,2.33,0.51,0.41,,,broken,1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220101,21,B,69.7,7,15,,B22.0614,glass bangle,possible,,,,,lunte,nearly,glass,Gley 1 2.5-N,frag,UD,,,4.38,4.16,0.75,0.71,,,broken,1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220102,20,B,24.42,26,143,,,UD,,,,,,cylindricalnearly,,glass,"Gley 2 3-10BG, 10R 4-6",frag,UD,,,1.11,1.56,0.66,0.64,,,broken,1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220103,5,B,70.6,0,,,B22.0426,glass bangle,possible,,,,,lunate,somewhat,glass,"Gley 2 4-10B, Gley 2 8-10B",frag,UD,,,4.38,3.15,0.91,0.82,,,broken,1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220104,49,B,25.62,36,264,,,weight,probable,,,,,donut,nearly,basalt,,frag,30%,mod,none,868.00,15.58,5.54,5.55,,,broken,1,,,,,,,29-Jul-22,Roma,,,,,,,,,,,
A220105,22,B,69.7,7,15,,B22.0615,UD (glass bangle?),,,,,,rectangular,"somewhat, curved",glass,10YR 4-1,frag,UD,,,0.84,1.69,0.64,0.41,,,broken,1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
